vendor_code,name,I,Iu,MaxValuePerOrder,AvgValuePerOrder,AvgMemoryPerOrder,IAvgMonthSales,TotMonthBusiness,Eram,Egeo,Ecur
50,Newegg Canada,54759,1082,2103.0827342512,161.60257955358338,19.58291787651345,353967.82615098887,25,9.491199314351533,0.6489825156826079,0.6489825156826079
51,Newegg Canada Marketplace,17887,497,2156.2441133916,220.5815571681258,15.171744842623134,281824.45093330514,14,8.030461977358232,0.6561947268679581,0.6561947268679581
52,Newegg Marketplace,39137,891,5067.49,167.35025791716424,14.982037458159798,284764.6540914454,23,9.211984424035808,0.0,0.0
53,Novatech,11689,218,1612.2204161018,239.73990352548213,18.425186072375737,186821.31548729047,15,7.125916939366287,0.44890823852260786,0.44890823852260786
55,OutletPC,7772,359,603.14,103.19684074343336,12.860910962429234,32081.83385031717,25,7.546008031728054,0.0,0.0
56,Overclockers.co.uk,3704,275,2136.6922359209,229.40712529762877,18.792116630669547,33988.959684096575,25,7.776207108424929,0.437945983395814,0.437945983395814
57,Paradigm PCs,17758,260,1188.0079691545,168.4593223973714,14.625971393174908,119660.02588530089,25,7.192593664413191,0.5948868902367201,0.5948868902367201
58,PB Technologies,7192,305,1169.5802199987,166.9078904626191,14.802002224694105,48016.06192828639,25,7.324472035351846,0.5965297471499449,0.5965297471499449
59,PC Componentes,11470,271,2236.3853202343,255.7884804661367,20.039581517000872,225684.14391896824,13,7.6584570727792745,0.640901071306518,0.0
60,PC Force,1841,40,367.9981710712,128.08005597598853,12.139054861488322,9431.815322071796,25,4.953298745430514,0.6190738179976505,0.6190738179976505
61,PC World,106,10,327.9898946898,100.6630866249255,8.943396226415095,1185.5874646935667,9,3.188052454222015,0.3860189005698934,0.3860189005698934
62,PC World Business,27633,210,1135.1982215635,138.13415386956828,14.346614555060977,152682.44295511188,25,7.313851795261094,0.44737104324613997,0.44737104324613997
63,PC-Canada,41264,498,1839.9536815205,205.92960700237816,21.495565141527724,369455.6218846117,23,8.336262375741802,0.6564347936299237,0.6564347936299237
64,PCCaseGear,4369,166,1222.6640159046,159.43966196807028,18.314488441290912,27863.675325539993,25,6.857839513210631,0.6021404940537525,0.6021404940537525
65,PCM,11304,221,1341.99,144.09527924684548,15.163128096249116,65154.121464257354,25,7.14802803740214,0.0,0.0
66,Playtech,52,14,318.8398325152,125.21654297555955,9.923076923076923,723.4733594143446,9,3.6181190462662087,0.4566836315394428,0.4566836315394428
67,PLE Computers,1941,117,1153.3859200474,185.04419439693396,17.92478104070067,14366.831252977961,25,6.499293749040128,0.5512882875187815,0.5512882875187815
68,pricespy_unknown,318591,1659,4465.5896017854,220.57450159982926,20.1716354197074,1849290.8168208615,38,10.11813302578292,0.4412065862307802,0.4412065862307802
69,RamCity,1248,60,1269.4578398337,210.8011034169147,15.695512820512821,10523.191082572384,25,5.3362364169035,0.6174079334164759,0.6174079334164759
70,Scan.co.uk,10294,176,2139.1815766165,282.011553780261,23.529434622109967,131955.76975518235,22,7.097014960366,0.4376166354656559,0.4376166354656559
71,Scorptec,3351,235,1952.4985749572,229.05942097301036,21.593554162936435,31982.42165335664,24,7.44963935811897,0.5778416255794743,0.5778416255794743
72,Senetic,68,6,458.7551516432,285.9779186701617,19.529411764705884,9723.249234785499,2,2.560471652649561,0.4305518670104394,0.4305518670104394
73,Shopping Express,2622,97,922.3561938407,176.1614610791611,17.388253241800154,23094.767547478004,20,5.822925273198989,0.578133611929811,0.578133611929811
74,shopRBC,13161,230,1187.2568781723,177.11593974449724,20.27231973254312,93240.91531909312,25,7.32368299866389,0.6553755905045949,0.6553755905045949
75,Skycomp Technology,1139,218,1198.0487804878,239.71533818485608,17.155399473222126,91011.923397517,3,7.487587032981032,0.5854790916343668,0.5854790916343668
76,SmartTeck.co.uk,3559,283,2134.2958792442,225.11674269598794,13.339421185726328,200297.62181375554,4,7.84820905397204,0.4399211119068078,0.4399211119068078
77,Storm Computers,74,15,253.4278231397,116.02276118113924,11.783783783783784,505.04025455319413,17,3.687409106302259,0.6064481901491524,0.6064481901491524
78,SuperBiiz,4026,127,824.99,110.00168705044625,13.485345255837059,17714.671682604578,25,6.390857312065499,0.0,0.0
79,Umart,7409,270,2024.5283726512,156.22347038642707,16.43001754622756,46298.387683721405,25,7.7689470426839335,0.5723603358182409,0.5723603358182409
80,Vuugo,27177,364,1148.4316135939998,151.23784258886747,15.779813813150826,164407.6339215059,25,7.1571989862286935,0.6482679993197498,0.6482679993197498
81,YoYoTech,34,6,323.959410139,150.410315175603,10.941176470588236,1278.487678992625,4,2.4275051383754205,0.3227569588973982,0.3227569588973982
