vendor_code,I,Iu,MaxValuePerOrder,AvgValuePerOrder,TotMonthBusiness,Eram,Egeo,Ecur
44,7,4,209.99,114.99000000000001,1,1.9502120649147465,1.8423709931771088,0.0
45,79525,779,2125.5639886678,200.99334349761503,25,9.035796863796035,3.4593194632713624,0.4443429132909507
46,16569,370,1686.3934688651002,158.724574038374,25,7.841344976603498,2.8070534881676372,0.5901105104188726
47,121439,1251,2199.99,160.3577796598315,25,9.774091501072226,2.8073160535418005,0.0
48,1122,176,1037.9310344828,129.78920854513765,15,7.201862692856455,2.8060338326217287,0.5746356978376794
49,4809,686,1963.99,244.99745090400134,4,8.975166642915482,2.8068871164577236,0.0
50,57074,1084,2103.0827342512,158.9866441262228,25,9.479393093870318,2.5849011351616866,0.6484197634579805
51,20030,500,2156.2441133916,208.53211280507142,14,8.022312625904696,2.5848759104056995,0.6543705249095868
52,50512,905,5067.49,174.19338913038197,23,9.213127515797428,2.807065538911604,0.00017133806129042447
53,11761,218,1612.2204161018,239.78759619384155,15,7.12511691532232,3.458559300514022,0.45008953239293514
55,8913,370,603.14,109.0803481810088,25,7.582990133645234,2.8065455019962657,0.0
56,3740,275,7036.4683301343,232.61372973749042,25,7.763252351869432,3.4533819180931014,0.4389704164883001
57,18081,260,1188.0079691545,168.01527946267146,25,7.198488771272868,2.807153218406391,0.5952356885339656
58,7428,309,1322.3588405,164.66363224975734,25,7.336801908396528,2.807030130554373,0.5940540700304084
59,11582,271,2236.3853202343,256.41586098332056,13,7.660071038082783,2.584498472842634,0.0
60,1883,40,367.9981710712,127.00598951641778,25,4.947072646623404,2.8031759417634947,0.6145382020946543
61,106,10,327.9898946898,100.6630866249255,9,3.188052454222015,3.3463766249760987,0.3860189005698934
62,27824,210,1135.1982215635,137.9727489162536,25,7.310847146065161,3.4583896619080834,0.4474318956459448
63,42645,498,1839.9536815205,202.76339942546187,23,8.322334248638438,2.584886434804649,0.6576699100507177
64,4474,166,2266.3895711317,159.22193974675733,25,6.8627477676652875,2.8065910480132605,0.6013293774163614
65,13420,224,1341.99,158.06759958434367,25,7.169270541195168,2.806935503501477,0.0
66,53,14,318.8398325152,123.81139783160748,9,3.602841388844507,2.6793017512107076,0.45079138835466503
67,1964,117,1153.3859200474,183.98817084244143,25,6.500913666010624,2.8027172955420037,0.551374786588861
68,321751,1660,6108.1938901725,220.95316367078428,38,10.120643260337607,3.4594007996974865,0.4411726411872855
69,1880,60,1269.4578398337,159.00951383907156,25,5.4538467961613195,2.804552607075057,0.6190802169429821
70,10356,176,2139.1815766165,282.1651594123334,22,7.0981178844269115,3.4584635214515753,0.43806647053824177
71,3392,235,1952.4985749572,229.09841929629465,24,7.449271821582316,2.8054076871369786,0.5773414257253139
72,68,6,458.7551516432,285.9779186701617,2,2.560471652649561,3.3316219386852586,0.4305518670104394
73,2761,97,922.3561938407,174.00126180296633,20,5.79331955605573,2.805438939339005,0.5808711174368819
74,13628,231,1230.6098238554,174.97513090691953,25,7.3180122069962605,2.5846144493180456,0.6570732411932865
75,1154,218,1198.0487804878,238.41865620447612,3,7.484699410718576,2.8048303484411865,0.5897495220123213
76,3570,283,2134.2958792442,225.06546453543794,4,7.848929916458704,3.45804246364114,0.4389892310236515
77,76,15,253.4278231397,116.11910572823031,17,3.6972623010876804,2.760612351008141,0.596510991708588
78,4092,128,824.99,110.63574167210129,25,6.399070145878374,2.8058749414431725,0.0
79,7685,270,2024.5283726512,153.70646576138213,25,7.761570871163448,2.8064614103690664,0.5739580228104079
80,30864,373,1148.4316135939998,143.23630981072324,25,7.1530152788472945,2.5848826851917206,0.6504736111403028
81,34,6,323.959410139,150.410315175603,4,2.4275051383754205,3.337935092563163,0.3227569588973982
